,Ranking,m/z A,Interpretation A,error A,m/z B,Interpretation B,error B
13250,11094,536.182618,No Match,-1000.0,401.288604,y3 (+1),-0.00152387
6712,11095,476.775123,y8 (+2) (C13),-0.00128724,630.403825,y5 (+1) (C13),-0.00238304
17945,11096,646.348316,y12-NH3 (+2) (C13),-0.00296254,398.232448,No Match,-1000.0
16914,11097,622.296933,internal 3:9 (+1) / b7-H2O-NH3 (+1) (C13),-0.00258267,475.739504,b10-CO (+2) / internal 3:12-CO (+2),-0.00135566
19634,11098,660.881708,No Match,-1000.0,745.895269,y14-H2O (+2) (C13),-0.0020699
25348,11099,745.394437,y14-H2O (+2),-0.00291531,667.887312,No Match,-1000.0
69,11100,156.102426,No Match,-1000.0,531.286332,No Match,-1000.0
9180,11101,503.268414,No Match,-1000.0,689.877751,y13 (+2),-0.00224352
835,11102,195.08835,internal 7:8 (+1) / internal 8:9 (+1),-0.00069795,722.392114,No Match,-1000.0
6240,11103,460.588166,No Match,-1000.0,747.394056,internal 5:12-H2O-CO (+1) (C13) / internal 5:12-HCOOH (+1) (C13) / internal 6:13-H2O-CO (+1) (C13) / internal 6:13-HCOOH (+1) (C13),0.00369757
4572,11104,401.288604,y3 (+1),-0.00152387,500.237156,internal 2:6 (+1),-0.00205188
10710,11105,524.284538,Parent-H2O-H2O (+3),-0.00181498,610.345456,No Match,-1000.0
22773,11106,688.870291,No Match,-1000.0,754.399472,y14 (+2),-0.00266797
12624,11107,531.794223,y10-H2O (+2) (C13),0.00361917,610.345456,No Match,-1000.0
12302,11108,531.297907,y10-H2O (+2),-0.00174225,675.365928,y13-HCOH (+2) (C13),0.0059744
21282,11109,675.365928,y13-HCOH (+2) (C13),0.0059744,504.784561,y9 (+2),-0.0016708
17349,11110,629.40075,y5 (+1),-0.00266287,675.869221,No Match,-1000.0
8312,11111,497.264778,internal 4:13-CO (+2) (C13),-0.00147714,690.880814,No Match,-1000.0
21751,11112,681.370686,y13-H2O (+2) (C13),0.00121656,175.119605,y1 (+1),-0.00065283
2550,11113,288.204002,y2 (+1),-0.00098585,661.858094,No Match,-1000.0
27693,11114,759.893576,No Match,-1000.0,402.292021,y3 (+1) (C13),-0.00158604
6929,11115,482.226425,internal 2:6-H2O (+1) / internal 2:11-H2O-CO (+2) (C13) / internal 2:11-HCOOH (+2) (C13),-0.00188557,732.407144,internal 8:14-CO-NH3 (+1),-0.0032432
7334,11116,487.266092,y9-H2O-NH3 (+2),-0.00175869,401.288604,y3 (+1),-0.00152387
28831,11117,978.469136,b10 (+1) / internal 3:12 (+1),-0.00520116,668.863524,y13-HNCNH (+2),0.00108448
4113,11118,398.232448,No Match,-1000.0,660.387149,No Match,-1000.0
19559,11119,660.881708,No Match,-1000.0,531.621297,No Match,-1000.0
9920,11120,510.25783,b5-H2O (+1) / internal 9:13-NH3 (+1),-0.00199044,183.113388,b2-H2O-CO (+1) / b2-HCOOH (+1) / internal 4:5-H2O-CO (+1) / internal 4:5-HCOOH (+1) / internal 11:12-H2O-CO (+1) / internal 11:12-HCOOH (+1),-0.00058384
21463,11121,675.869221,No Match,-1000.0,524.284538,Parent-H2O-H2O (+3),-0.00181498
8426,11122,500.237156,internal 2:6 (+1),-0.00205188,535.850077,No Match,-1000.0
7412,11123,487.266092,y9-H2O-NH3 (+2),-0.00175869,646.372715,No Match,-1000.0
16635,11124,603.793117,b12 (+2),-0.00200785,646.851595,No Match,-1000.0
663,11125,187.072039,internal 3:4 (+1),-0.00070573,726.38,No Match,-1000.0
28459,11126,951.541865,y8 (+1),-0.00482478,622.296933,internal 3:9 (+1) / b7-H2O-NH3 (+1) (C13),-0.00258267
4489,11127,401.20454,internal 2:5-CO (+1) / internal 7:14-NH3-NH3 (+2) (C13),-0.00146428,722.392114,No Match,-1000.0
15933,11128,596.845575,y11 (+2),-0.00209592,629.40075,y5 (+1),-0.00266287
11452,11129,529.270973,b5 (+1) (C13) / internal 5:10-H2O-H2O (+1) (C13),-0.00121392,731.912667,No Match,-1000.0
21184,11130,668.863524,y13-HNCNH (+2),0.00108448,688.870291,No Match,-1000.0
1513,11131,202.127494,b2-CO (+1) (C13) / internal 4:5-CO (+1) (C13) / internal 11:12-CO (+1) (C13),-0.00077032,668.863524,y13-HNCNH (+2),0.00108448
17,11132,156.102426,No Match,-1000.0,301.159861,b3 (+1) (C13) / internal 3:5 (+1) (C13) / internal 4:6 (+1) (C13),-0.00110892
17361,11133,629.40075,y5 (+1),-0.00266287,691.382239,No Match,-1000.0
29814,11134,1107.512648,b11 (+1) / internal 2:12 (+1),-0.00612007,521.631926,No Match,-1000.0
8465,11135,500.237156,internal 2:6 (+1),-0.00205188,661.357419,No Match,-1000.0
14698,11136,541.306032,No Match,-1000.0,540.30326,y10 (+2),-0.00181291
1864,11137,230.116129,internal 10:11-CO (+1),-0.00259655,680.872829,y13-H2O (+2),-0.00260386
20176,11138,666.887703,No Match,-1000.0,1008.563901,y9 (+1),-0.00539706
21150,11139,668.863524,y13-HNCNH (+2),0.00108448,610.345456,No Match,-1000.0
6076,11140,460.254049,No Match,-1000.0,814.482029,y7 (+1),-0.00390064
7598,11141,487.767518,y9-H2O-NH3 (+2) (C13),-0.00150727,667.389809,No Match,-1000.0
26671,11142,754.399472,y14 (+2),-0.00266797,500.273383,b5-CO (+1),-0.00189337
13875,11143,536.625725,Parent (+3) (C13),-0.00150724,683.374046,No Match,-1000.0
25389,11144,745.394437,y14-H2O (+2),-0.00291531,759.893576,No Match,-1000.0
28483,11145,951.541865,y8 (+1),-0.00482478,668.863524,y13-HNCNH (+2),0.00108448
19912,11146,661.858094,No Match,-1000.0,536.182618,No Match,-1000.0
23115,11147,689.877751,y13 (+2),-0.00224352,746.307712,No Match,-1000.0
16795,11148,610.345456,No Match,-1000.0,596.845575,y11 (+2),-0.00209592
4448,11149,401.20454,internal 2:5-CO (+1) / internal 7:14-NH3-NH3 (+2) (C13),-0.00146428,625.839478,No Match,-1000.0
2506,11150,288.204002,y2 (+1),-0.00098585,531.297907,y10-H2O (+2),-0.00174225
27297,11151,757.460091,y6 (+1),-0.00342636,754.399472,y14 (+2),-0.00266797
14038,11152,536.959897,No Match,-1000.0,667.887312,No Match,-1000.0
15207,11153,565.275177,internal 3:8 (+1) / b6-H2O-NH3 (+1) (C13),-0.00229039,531.286332,No Match,-1000.0
2994,11154,301.159861,b3 (+1) (C13) / internal 3:5 (+1) (C13) / internal 4:6 (+1) (C13),-0.00110892,475.739504,b10-CO (+2) / internal 3:12-CO (+2),-0.00135566
1364,11155,202.121175,internal 10:11-CO-CO (+1),-0.00255717,745.895269,y14-H2O (+2) (C13),-0.0020699
27162,11156,757.460091,y6 (+1),-0.00342636,316.114992,internal 2:4 (+1),-0.00106564
26152,11157,747.394056,internal 5:12-H2O-CO (+1) (C13) / internal 5:12-HCOOH (+1) (C13) / internal 6:13-H2O-CO (+1) (C13) / internal 6:13-HCOOH (+1) (C13),0.00369757,503.268414,No Match,-1000.0
2970,11158,301.159861,b3 (+1) (C13) / internal 3:5 (+1) (C13) / internal 4:6 (+1) (C13),-0.00110892,266.125697,internal 6:8 (+1) / internal 3:8-H2O-NH3 (+2) (C13) / internal 5:10-NH3-NH3 (+2) (C13),-0.00093117
5694,11159,428.215597,internal 3:7 (+1),-0.00162225,681.870748,No Match,-1000.0
14429,11160,540.30326,y10 (+2),-0.00181291,815.484834,y7 (+1) (C13),-0.00335081
7304,11161,486.22122,No Match,-1000.0,1091.55473,internal 3:13 (+1),-0.00673118
15384,11162,566.278227,internal 3:8 (+1) (C13),-0.00198556,531.794223,y10-H2O (+2) (C13),0.00361917
16329,11163,597.848378,No Match,-1000.0,746.307712,No Match,-1000.0
16222,11164,597.848378,No Match,-1000.0,482.262768,b5-H2O-CO (+1) / b5-HCOOH (+1) / internal 9:13-CO-NH3 (+1),-0.00184306
6900,11165,482.226425,internal 2:6-H2O (+1) / internal 2:11-H2O-CO (+2) (C13) / internal 2:11-HCOOH (+2) (C13),-0.00188557,661.858094,No Match,-1000.0
20267,11166,667.389809,No Match,-1000.0,540.804661,y10 (+2) (C13),-0.00153649
19078,11167,655.362039,No Match,-1000.0,660.881708,No Match,-1000.0
11470,11168,529.270973,b5 (+1) (C13) / internal 5:10-H2O-H2O (+1) (C13),-0.00121392,814.482029,y7 (+1),-0.00390064
660,11169,187.072039,internal 3:4 (+1),-0.00070573,721.890295,No Match,-1000.0
1565,11170,202.127494,b2-CO (+1) (C13) / internal 4:5-CO (+1) (C13) / internal 11:12-CO (+1) (C13),-0.00077032,1205.641873,internal 3:14 (+1) (C13),-0.00645537
19601,11171,660.881708,No Match,-1000.0,661.357419,No Match,-1000.0
8317,11172,497.264778,internal 4:13-CO (+2) (C13),-0.00147714,722.392114,No Match,-1000.0
518,11173,183.113388,b2-H2O-CO (+1) / b2-HCOOH (+1) / internal 4:5-H2O-CO (+1) / internal 4:5-HCOOH (+1) / internal 11:12-H2O-CO (+1) / internal 11:12-HCOOH (+1),-0.00058384,1091.55473,internal 3:13 (+1),-0.00673118
14008,11174,536.959897,No Match,-1000.0,566.278227,internal 3:8 (+1) (C13),-0.00198556
4386,11175,401.20454,internal 2:5-CO (+1) / internal 7:14-NH3-NH3 (+2) (C13),-0.00146428,475.739504,b10-CO (+2) / internal 3:12-CO (+2),-0.00135566
16658,11176,603.793117,b12 (+2),-0.00200785,682.872369,No Match,-1000.0
11139,11177,528.268562,b5 (+1) / internal 3:13-H2O-H2O (+2) / internal 5:10-H2O-H2O (+1),-0.00215775,187.072039,internal 3:4 (+1),-0.00070573
28891,11178,1008.563901,y9 (+1),-0.00539706,202.121175,internal 10:11-CO-CO (+1),-0.00255717
5485,11179,425.707564,b9 (+2),-0.0012471,596.845575,y11 (+2),-0.00209592
26830,11180,754.901072,y14 (+2) (C13),-0.00259056,460.254049,No Match,-1000.0
25542,11181,745.895269,y14-H2O (+2) (C13),-0.0020699,721.890295,No Match,-1000.0
6144,11182,460.588166,No Match,-1000.0,504.784561,y9 (+2),-0.0016708
6634,11183,476.775123,y8 (+2) (C13),-0.00128724,397.19662,b8 (+2),-0.00103496
19274,11184,659.353388,No Match,-1000.0,690.880814,No Match,-1000.0
531,11185,187.072039,internal 3:4 (+1),-0.00070573,229.119049,b2 (+1) / internal 4:5 (+1) / internal 11:12 (+1),-0.00076553
15403,11186,566.278227,internal 3:8 (+1) (C13),-0.00198556,596.845575,y11 (+2),-0.00209592
22312,11187,682.872369,No Match,-1000.0,482.262768,b5-H2O-CO (+1) / b5-HCOOH (+1) / internal 9:13-CO-NH3 (+1),-0.00184306
22852,11188,689.374307,No Match,-1000.0,517.276486,No Match,-1000.0
11823,11189,530.621016,Parent-H2O (+3) (C13),-0.00031981,978.469136,b10 (+1) / internal 3:12 (+1),-0.00520116
3277,11190,316.114992,internal 2:4 (+1),-0.00106564,745.394437,y14-H2O (+2),-0.00291531
11979,11191,530.954686,No Match,-1000.0,746.307712,No Match,-1000.0
16710,11192,610.345456,No Match,-1000.0,201.124072,b2-CO (+1) / internal 4:5-CO (+1) / internal 11:12-CO (+1),-0.00070315
6100,11193,460.588166,No Match,-1000.0,230.116129,internal 10:11-CO (+1),-0.00259655
11133,11194,524.951635,No Match,-1000.0,1107.512648,b11 (+1) / internal 2:12 (+1),-0.00612007
7933,11195,494.237812,internal 4:8 (+1) / internal 4:13-NH3-NH3 (+2) (C13),-0.00203917,646.348316,y12-NH3 (+2) (C13),-0.00296254
17356,11196,629.40075,y5 (+1),-0.00266287,688.870291,No Match,-1000.0
15369,11197,566.278227,internal 3:8 (+1) (C13),-0.00198556,510.25783,b5-H2O (+1) / internal 9:13-NH3 (+1),-0.00199044
3967,11198,397.19662,b8 (+2),-0.00103496,722.392114,No Match,-1000.0
8546,11199,500.273383,b5-CO (+1),-0.00189337,383.194391,b8-CO (+2) / internal 2:5-H2O-CO (+1) / internal 2:5-HCOOH (+1) / internal 3:7-CO-NH3 (+1),0.00373673
29014,11200,1008.563901,y9 (+1),-0.00539706,688.870291,No Match,-1000.0
16881,11201,622.296933,internal 3:9 (+1) / b7-H2O-NH3 (+1) (C13),-0.00258267,187.072039,internal 3:4 (+1),-0.00070573
6029,11202,460.254049,No Match,-1000.0,661.357419,No Match,-1000.0
5121,11203,415.183883,b4 (+1) / internal 6:10-H2O-H2O (+1),-0.00154273,535.955778,No Match,-1000.0
26674,11204,754.399472,y14 (+2),-0.00266797,503.268414,No Match,-1000.0
14822,11205,554.258768,b11 (+2) / internal 2:12 (+2),-0.0018658,428.215597,internal 3:7 (+1),-0.00162225
21762,11206,681.370686,y13-H2O (+2) (C13),0.00121656,266.125697,internal 6:8 (+1) / internal 3:8-H2O-NH3 (+2) (C13) / internal 5:10-NH3-NH3 (+2) (C13),-0.00093117
24057,11207,721.890295,No Match,-1000.0,494.237812,internal 4:8 (+1) / internal 4:13-NH3-NH3 (+2) (C13),-0.00203917
28490,11208,951.541865,y8 (+1),-0.00482478,682.872369,No Match,-1000.0
27359,11209,758.462697,y6 (+1) (C13),-0.00267753,486.22122,No Match,-1000.0
26187,11210,747.394056,internal 5:12-H2O-CO (+1) (C13) / internal 5:12-HCOOH (+1) (C13) / internal 6:13-H2O-CO (+1) (C13) / internal 6:13-HCOOH (+1) (C13),0.00369757,565.275177,internal 3:8 (+1) / b6-H2O-NH3 (+1) (C13),-0.00229039
22509,11211,683.374046,No Match,-1000.0,524.951635,No Match,-1000.0
5801,11212,429.1995,internal 2:5 (+1),-0.00150966,521.297717,No Match,-1000.0
6848,11213,482.226425,internal 2:6-H2O (+1) / internal 2:11-H2O-CO (+2) (C13) / internal 2:11-HCOOH (+2) (C13),-0.00188557,524.616921,Parent-H2O-H2O (+3) (C13),0.00025363
9241,11214,503.602581,No Match,-1000.0,371.193813,internal 3:6 (+1),-0.00130197
27854,11215,814.482029,y7 (+1),-0.00390064,288.204002,y2 (+1),-0.00098585
7122,11216,482.262768,b5-H2O-CO (+1) / b5-HCOOH (+1) / internal 9:13-CO-NH3 (+1),-0.00184306,879.399748,internal 2:10 (+1) / internal 3:11 (+1),-0.00422707
7681,11217,489.73711,b10 (+2) / internal 3:12 (+2),-0.00150435,401.20454,internal 2:5-CO (+1) / internal 7:14-NH3-NH3 (+2) (C13),-0.00146428
29533,11218,1080.604578,y10 (+1) (C13),-0.00560545,682.371222,No Match,-1000.0
2349,11219,272.161442,b3-CO (+1) / b6-CO-CO (+2) / internal 3:5-CO (+1) / internal 4:6-CO (+1),-0.00095937,565.275177,internal 3:8 (+1) / b6-H2O-NH3 (+1) (C13),-0.00229039
13097,11220,535.955778,No Match,-1000.0,497.264778,internal 4:13-CO (+2) (C13),-0.00147714
24689,11221,726.38,No Match,-1000.0,755.402417,No Match,-1000.0
27331,11222,758.462697,y6 (+1) (C13),-0.00267753,272.161442,b3-CO (+1) / b6-CO-CO (+2) / internal 3:5-CO (+1) / internal 4:6-CO (+1),-0.00095937
1714,11223,229.119049,b2 (+1) / internal 4:5 (+1) / internal 11:12 (+1),-0.00076553,746.395337,internal 5:12-H2O-CO (+1) / internal 5:12-HCOOH (+1) / internal 6:13-H2O-CO (+1) / internal 6:13-HCOOH (+1),-0.00093827
14396,11224,540.30326,y10 (+2),-0.00181291,682.872369,No Match,-1000.0
3820,11225,397.173179,b4-H2O (+1) / internal 9:12-NH3 (+1),-0.00140342,1008.563901,y9 (+1),-0.00539706
14016,11226,536.959897,No Match,-1000.0,610.345456,No Match,-1000.0
7055,11227,482.262768,b5-H2O-CO (+1) / b5-HCOOH (+1) / internal 9:13-CO-NH3 (+1),-0.00184306,603.793117,b12 (+2),-0.00200785
6617,11228,476.775123,y8 (+2) (C13),-0.00128724,201.087675,internal 2:3 (+1),-0.00069166
24788,11229,731.912667,No Match,-1000.0,536.959897,No Match,-1000.0
16154,11230,597.346987,y11 (+2) (C13),-0.0018305,745.895269,y14-H2O (+2) (C13),-0.0020699
14404,11231,540.30326,y10 (+2),-0.00181291,694.319024,internal 2:8 (+1),-0.0035443
13592,11232,536.291421,Parent (+3) / internal 5:10-CO (+1),-0.00165486,383.194391,b8-CO (+2) / internal 2:5-H2O-CO (+1) / internal 2:5-HCOOH (+1) / internal 3:7-CO-NH3 (+1),0.00373673
9803,11233,505.787346,No Match,-1000.0,521.297717,No Match,-1000.0
27546,11234,759.391959,No Match,-1000.0,504.784561,y9 (+2),-0.0016708
5220,11235,416.187017,b4 (+1) (C13) / internal 6:10-H2O-H2O (+1) (C13),-0.0013219,156.102426,No Match,-1000.0
28078,11236,815.484834,y7 (+1) (C13),-0.00335081,528.268562,b5 (+1) / internal 3:13-H2O-H2O (+2) / internal 5:10-H2O-H2O (+1),-0.00215775
6614,11237,476.775123,y8 (+2) (C13),-0.00128724,183.113388,b2-H2O-CO (+1) / b2-HCOOH (+1) / internal 4:5-H2O-CO (+1) / internal 4:5-HCOOH (+1) / internal 11:12-H2O-CO (+1) / internal 11:12-HCOOH (+1),-0.00058384
25055,11238,732.407144,internal 8:14-CO-NH3 (+1),-0.0032432,1205.641873,internal 3:14 (+1) (C13),-0.00645537
29358,11239,1079.601791,y10 (+1),-0.00617328,681.870748,No Match,-1000.0
14185,11240,537.279979,internal 3:8-CO (+1),-0.00200701,596.845575,y11 (+2),-0.00209592
1171,11241,201.124072,b2-CO (+1) / internal 4:5-CO (+1) / internal 11:12-CO (+1),-0.00070315,682.371222,No Match,-1000.0
11723,11242,530.621016,Parent-H2O (+3) (C13),-0.00031981,529.270973,b5 (+1) (C13) / internal 5:10-H2O-H2O (+1) (C13),-0.00121392
20600,11243,667.887312,No Match,-1000.0,530.954686,No Match,-1000.0
7670,11244,489.73711,b10 (+2) / internal 3:12 (+2),-0.00150435,288.204002,y2 (+1),-0.00098585
11761,11245,530.621016,Parent-H2O (+3) (C13),-0.00031981,646.348316,y12-NH3 (+2) (C13),-0.00296254
23655,11246,691.382239,No Match,-1000.0,978.469136,b10 (+1) / internal 3:12 (+1),-0.00520116
3162,11247,316.114992,internal 2:4 (+1),-0.00106564,416.187017,b4 (+1) (C13) / internal 6:10-H2O-H2O (+1) (C13),-0.0013219
2758,11248,298.104311,internal 2:4-H2O (+1) / internal 9:11-NH3 (+1),-0.00094933,746.395337,internal 5:12-H2O-CO (+1) / internal 5:12-HCOOH (+1) / internal 6:13-H2O-CO (+1) / internal 6:13-HCOOH (+1),-0.00093827
5462,11249,425.707564,b9 (+2),-0.0012471,530.954686,No Match,-1000.0
22680,11250,688.870291,No Match,-1000.0,521.631926,No Match,-1000.0
23183,11251,690.379342,y13 (+2) (C13),-0.0021571,486.22122,No Match,-1000.0
6862,11252,482.226425,internal 2:6-H2O (+1) / internal 2:11-H2O-CO (+2) (C13) / internal 2:11-HCOOH (+2) (C13),-0.00188557,536.182618,No Match,-1000.0
26804,11253,754.901072,y14 (+2) (C13),-0.00259056,202.127494,b2-CO (+1) (C13) / internal 4:5-CO (+1) (C13) / internal 11:12-CO (+1) (C13),-0.00077032
21542,11254,675.869221,No Match,-1000.0,725.878589,No Match,-1000.0
7463,11255,487.266092,y9-H2O-NH3 (+2),-0.00175869,755.402417,No Match,-1000.0
11155,11256,528.268562,b5 (+1) / internal 3:13-H2O-H2O (+2) / internal 5:10-H2O-H2O (+1),-0.00215775,371.193813,internal 3:6 (+1),-0.00130197
14812,11257,554.258768,b11 (+2) / internal 2:12 (+2),-0.0018658,397.19662,b8 (+2),-0.00103496
1257,11258,202.121175,internal 10:11-CO-CO (+1),-0.00255717,482.226425,internal 2:6-H2O (+1) / internal 2:11-H2O-CO (+2) (C13) / internal 2:11-HCOOH (+2) (C13),-0.00188557
26265,11259,747.394056,internal 5:12-H2O-CO (+1) (C13) / internal 5:12-HCOOH (+1) (C13) / internal 6:13-H2O-CO (+1) (C13) / internal 6:13-HCOOH (+1) (C13),0.00369757,978.469136,b10 (+1) / internal 3:12 (+1),-0.00520116
28504,11260,951.541865,y8 (+1),-0.00482478,731.912667,No Match,-1000.0
15162,11261,565.275177,internal 3:8 (+1) / b6-H2O-NH3 (+1) (C13),-0.00229039,399.225909,y7-NH3 (+2),0.00351886
25259,11262,745.394437,y14-H2O (+2),-0.00291531,415.183883,b4 (+1) / internal 6:10-H2O-H2O (+1),-0.00154273
2256,11263,266.125697,internal 6:8 (+1) / internal 3:8-H2O-NH3 (+2) (C13) / internal 5:10-NH3-NH3 (+2) (C13),-0.00093117,1079.601791,y10 (+1),-0.00617328
28976,11264,1008.563901,y9 (+1),-0.00539706,597.346987,y11 (+2) (C13),-0.0018305
1423,11265,202.127494,b2-CO (+1) (C13) / internal 4:5-CO (+1) (C13) / internal 11:12-CO (+1) (C13),-0.00077032,425.707564,b9 (+2),-0.0012471
19802,11266,661.357419,No Match,-1000.0,725.878589,No Match,-1000.0
23153,11267,690.379342,y13 (+2) (C13),-0.0021571,230.122528,b2 (+1) (C13) / internal 4:5 (+1) (C13) / internal 11:12 (+1) (C13),-0.0008897
29272,11268,1079.601791,y10 (+1),-0.00617328,482.262768,b5-H2O-CO (+1) / b5-HCOOH (+1) / internal 9:13-CO-NH3 (+1),-0.00184306
24269,11269,722.392114,No Match,-1000.0,540.804661,y10 (+2) (C13),-0.00153649
28241,11270,879.399748,internal 2:10 (+1) / internal 3:11 (+1),-0.00422707,503.602581,No Match,-1000.0
13071,11271,535.955778,No Match,-1000.0,397.173179,b4-H2O (+1) / internal 9:12-NH3 (+1),-0.00140342
8038,11272,495.779102,y9-H2O (+2),-0.00149414,460.254049,No Match,-1000.0
17261,11273,629.40075,y5 (+1),-0.00266287,460.588166,No Match,-1000.0
27865,11274,814.482029,y7 (+1),-0.00390064,401.20454,internal 2:5-CO (+1) / internal 7:14-NH3-NH3 (+2) (C13),-0.00146428
24657,11275,726.38,No Match,-1000.0,675.869221,No Match,-1000.0
25402,11276,745.394437,y14-H2O (+2),-0.00291531,1204.639002,internal 3:14 (+1),-0.0069392
14593,11277,540.804661,y10 (+2) (C13),-0.00153649,750.356517,internal 3:10 (+1),-0.00358916
11310,11278,529.270973,b5 (+1) (C13) / internal 5:10-H2O-H2O (+1) (C13),-0.00121392,156.102426,No Match,-1000.0
5342,11279,416.187017,b4 (+1) (C13) / internal 6:10-H2O-H2O (+1) (C13),-0.0013219,675.365928,y13-HCOH (+2) (C13),0.0059744
6844,11280,482.226425,internal 2:6-H2O (+1) / internal 2:11-H2O-CO (+2) (C13) / internal 2:11-HCOOH (+2) (C13),-0.00188557,517.276486,No Match,-1000.0
26877,11281,754.901072,y14 (+2) (C13),-0.00259056,537.279979,internal 3:8-CO (+1),-0.00200701
27513,11282,759.391959,No Match,-1000.0,397.173179,b4-H2O (+1) / internal 9:12-NH3 (+1),-0.00140342
5043,11283,411.188975,internal 2:5-H2O (+1) / internal 3:7-NH3 (+1),-0.00154935,1107.512648,b11 (+1) / internal 2:12 (+1),-0.00612007
20792,11284,668.361566,No Match,-1000.0,554.760058,b11 (+2) (C13) / internal 2:12 (+2) (C13),-0.00147839
28342,11285,879.399748,internal 2:10 (+1) / internal 3:11 (+1),-0.00422707,754.901072,y14 (+2) (C13),-0.00259056
27051,11286,755.402417,No Match,-1000.0,537.279979,internal 3:8-CO (+1),-0.00200701
2825,11287,300.156407,b3 (+1) / b6 (+2) / internal 3:5 (+1) / internal 4:6 (+1),-0.00100975,486.22122,No Match,-1000.0
6536,11288,476.273741,y8 (+2),-0.00158266,625.839478,No Match,-1000.0
24643,11289,726.38,No Match,-1000.0,655.362039,No Match,-1000.0
10025,11290,510.25783,b5-H2O (+1) / internal 9:13-NH3 (+1),-0.00199044,654.359227,y12 (+2),-0.00227641
18104,11291,646.372715,No Match,-1000.0,202.127494,b2-CO (+1) (C13) / internal 4:5-CO (+1) (C13) / internal 11:12-CO (+1) (C13),-0.00077032
28082,11292,815.484834,y7 (+1) (C13),-0.00335081,530.954686,No Match,-1000.0
29466,11293,1080.604578,y10 (+1) (C13),-0.00560545,521.631926,No Match,-1000.0
28371,11294,951.541865,y8 (+1),-0.00482478,229.119049,b2 (+1) / internal 4:5 (+1) / internal 11:12 (+1),-0.00076553
10017,11295,510.25783,b5-H2O (+1) / internal 9:13-NH3 (+1),-0.00199044,629.40075,y5 (+1),-0.00266287
14105,11296,537.279979,internal 3:8-CO (+1),-0.00200701,230.122528,b2 (+1) (C13) / internal 4:5 (+1) (C13) / internal 11:12 (+1) (C13),-0.0008897
23147,11297,690.379342,y13 (+2) (C13),-0.0021571,201.087675,internal 2:3 (+1),-0.00069166
11432,11298,529.270973,b5 (+1) (C13) / internal 5:10-H2O-H2O (+1) (C13),-0.00121392,675.365928,y13-HCOH (+2) (C13),0.0059744
3137,11299,316.114992,internal 2:4 (+1),-0.00106564,201.087675,internal 2:3 (+1),-0.00069166
5945,11300,460.254049,No Match,-1000.0,415.183883,b4 (+1) / internal 6:10-H2O-H2O (+1),-0.00154273
20235,11301,667.389809,No Match,-1000.0,501.360683,y4 (+1) (C13),-0.00183413
7843,11302,494.237812,internal 4:8 (+1) / internal 4:13-NH3-NH3 (+2) (C13),-0.00203917,272.161442,b3-CO (+1) / b6-CO-CO (+2) / internal 3:5-CO (+1) / internal 4:6-CO (+1),-0.00095937
22902,11303,689.374307,No Match,-1000.0,654.860832,y12 (+2) (C13),-0.00220399
17701,11304,645.354248,y12-H2O (+2),-0.00257975,682.371222,No Match,-1000.0
20330,11305,667.389809,No Match,-1000.0,745.895269,y14-H2O (+2) (C13),-0.0020699
8285,11306,497.264778,internal 4:13-CO (+2) (C13),-0.00147714,654.359227,y12 (+2),-0.00227641
21574,11307,675.869221,No Match,-1000.0,1204.639002,internal 3:14 (+1),-0.0069392
16489,11308,599.30583,b6 (+1),-0.00231197,690.379342,y13 (+2) (C13),-0.0021571
14699,11309,541.306032,No Match,-1000.0,540.804661,y10 (+2) (C13),-0.00153649
7870,11310,494.237812,internal 4:8 (+1) / internal 4:13-NH3-NH3 (+2) (C13),-0.00203917,482.262768,b5-H2O-CO (+1) / b5-HCOOH (+1) / internal 9:13-CO-NH3 (+1),-0.00184306
13093,11311,535.955778,No Match,-1000.0,487.767518,y9-H2O-NH3 (+2) (C13),-0.00150727
23851,11312,717.904469,No Match,-1000.0,272.161442,b3-CO (+1) / b6-CO-CO (+2) / internal 3:5-CO (+1) / internal 4:6-CO (+1),-0.00095937
15293,11313,565.275177,internal 3:8 (+1) / b6-H2O-NH3 (+1) (C13),-0.00229039,755.402417,No Match,-1000.0
23854,11314,717.904469,No Match,-1000.0,300.156407,b3 (+1) / b6 (+2) / internal 3:5 (+1) / internal 4:6 (+1),-0.00100975
7010,11315,482.262768,b5-H2O-CO (+1) / b5-HCOOH (+1) / internal 9:13-CO-NH3 (+1),-0.00184306,500.357482,y4 (+1),-0.00198796
2109,11316,266.125697,internal 6:8 (+1) / internal 3:8-H2O-NH3 (+2) (C13) / internal 5:10-NH3-NH3 (+2) (C13),-0.00093117,397.173179,b4-H2O (+1) / internal 9:12-NH3 (+1),-0.00140342
2945,11317,300.156407,b3 (+1) / b6 (+2) / internal 3:5 (+1) / internal 4:6 (+1),-0.00100975,815.484834,y7 (+1) (C13),-0.00335081
26491,11318,753.896121,No Match,-1000.0,487.767518,y9-H2O-NH3 (+2) (C13),-0.00150727
23026,11319,689.877751,y13 (+2),-0.00224352,517.276486,No Match,-1000.0
12434,11320,531.621297,No Match,-1000.0,536.959897,No Match,-1000.0
13222,11321,535.955778,No Match,-1000.0,1204.639002,internal 3:14 (+1),-0.0069392
2078,11322,230.122528,b2 (+1) (C13) / internal 4:5 (+1) (C13) / internal 11:12 (+1) (C13),-0.0008897,952.544553,y8 (+1) (C13),-0.00415795
17728,11323,645.354248,y12-H2O (+2),-0.00257975,754.901072,y14 (+2) (C13),-0.00259056
